profile,category,sample,source_width,source_height,width,height,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,0,1075,4318,0.2489578508568782,5.00762,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,1,1866,4318,0.4321445113478462,5.33779,20.223405199989145,0.35358427565783285,0.7295853195838102,0.7420872711941581,0.8357651155499723
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,2,2976,4318,0.6892079666512274,5.06133,21.266624802176096,0.5094516116520563,0.8308911501725337,0.8481403033249801,0.8949751932572336
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,3,4059,4318,0.9400185270958777,5.94833,22.227867664062302,0.5997077083921115,0.8728990357797581,0.8920523462137006,0.9227262161678882
chat_preview,photo,kodak_01,768,512,512,341,1,64,32,4,4318,4318,1.0,5.7905,22.281385759251904,0.6005821699503073,0.8731593521760651,0.8922954252515983,0.9236736342324849
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,0,2241,10509,0.21324578932343705,5.5335,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,1,4617,10509,0.43933771053382814,5.39117,21.700662981400804,0.5505183187183387,0.8614565955443183,0.8734396199420237,0.9079245774457348
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,2,8540,10509,0.812636787515463,5.67533,23.82891754712855,0.7294541188296692,0.9338502937815755,0.9459450623062992,0.9545322389433217
chat_preview,photo,kodak_01,768,512,512,341,1,64,64,3,10509,10509,1.0,6.41733,24.915849776087676,0.7787855241567895,0.9446159094629442,0.9564221120482537,0.9645790560774039
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,0,1075,4326,0.24849745723532132,4.74746,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,1,1866,4326,0.43134535367545074,5.45033,20.223405199989145,0.35358427565783285,0.7295853195838102,0.7420872711941581,0.8357651155499723
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,2,2976,4326,0.6879334257975035,5.38146,21.26659126073534,0.5094524427240206,0.8308911328446835,0.8481404422415132,0.8949734733264386
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,3,4064,4326,0.9394359685621821,5.59879,22.22746246134017,0.5997838694804445,0.872863250864392,0.8920190955181049,0.9227167744949942
chat_preview,photo,kodak_01,768,512,512,341,2,64,32,4,4326,4326,1.0,5.71971,22.288541222308073,0.6007179248463866,0.8731556460455289,0.8922882051262742,0.9238077843321884
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,0,2241,10509,0.21324578932343705,5.15308,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,1,4617,10509,0.43933771053382814,5.27504,21.700662981400804,0.5505183187183387,0.8614565955443183,0.8734396199420237,0.9079245774457348
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,2,8540,10509,0.812636787515463,5.51108,23.82891754712855,0.7294541188296692,0.9338502937815755,0.9459450623062992,0.9545322389433217
chat_preview,photo,kodak_01,768,512,512,341,2,64,64,3,10509,10509,1.0,6.33729,24.9159144798997,0.7787862910765485,0.9446158421553298,0.9564220604369453,0.9645791645694773
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,0,1075,4416,0.24343297101449277,5.16083,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,1,1880,4416,0.4257246376811594,4.88987,20.225293877217613,0.35383876444974033,0.7297953176890876,0.7426517720199796,0.8358021315071241
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,2,3021,4416,0.6841032608695652,5.09575,21.27237443962762,0.5122074882819384,0.8316597812497206,0.8491490261260691,0.8949044340800444
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,3,4151,4416,0.9399909420289855,5.58988,22.245983912601254,0.6043831508970429,0.8743036770039453,0.8935806840860526,0.923187099953076
chat_preview,photo,kodak_01,768,512,512,341,3,64,32,4,4416,4416,1.0,5.80696,22.311280437171597,0.6054174508129709,0.8746108531411965,0.8938654393824557,0.9243510076107565
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,0,2241,10760,0.20827137546468402,4.90725,20.315351861456662,0.35883451515425496,0.737107902487788,0.7504653217870019,0.839669740886149
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,1,4648,10760,0.43197026022304835,5.22475,21.702499401845667,0.5505759732311039,0.8613781479246004,0.8733774972830379,0.9079679907493263
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,2,8687,10760,0.8073420074349442,5.60229,23.851981073122644,0.731763580209531,0.9346158994219165,0.9466501295372106,0.954874011752319
chat_preview,photo,kodak_01,768,512,512,341,3,64,64,3,10760,10760,1.0,6.34167,24.97592594598611,0.7827486890640726,0.9455376409598624,0.9573292482066551,0.9651307344573122
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,0,1075,4487,0.23958101181190106,4.982,19.42487100699782,0.24662811275490193,0.6104270756420361,0.6178544932570897,0.7695750718003527
chat_preview,photo,kodak_01,768,512,512,341,4,64,32,1,1880,4487,0.41898818809895255,5.04921,20.225293877217613,0.35383876444974033,0.7297953176890876,0.7426517720199796,0.8358021315071241
